created_at,screen_name,location,tweet,retweet_count,favorite_count
2020-10-23 05:50:56,Bang Gun,Di Followermu,"Yaiiiiiii..... ngapain sih disituuu.... 
Istirahatlah dirumah yai.....

Bercengkerama dan bercanda dengan anak cucu. 
https://t.co/Ddcq6Lnfrm",0,1
2020-10-23 05:50:31,Merdeka.com,Indonesia,"Survei IPR: Kepuasan Publik Atas Kinerja Menteri Jokowi-Ma'ruf di Bawah 50 Persen: Tiga menteri dengan kinerja yang dianggap publik memuaskan adalah Menteri Pertahanan Prabowo Subianto , Menteri Luar Negeri Retno Marsudi dan Menpora Zainudin Amali. https://t.co/m7d7w7VH6R",0,0
2020-10-23 05:44:21,PITOENG 🇵🇸,DKI Jakarta,"Sudah mulai .....

Presiden akan re-Shuffle Belasan Menteri, Ma'ruf Amin: ""Hanya Allah dan Pak Jokowi yang tahu"" - Portal Surabaya https://t.co/mN5sNU8PwA",0,1
2020-10-23 05:42:54,Mang Djana,Indonesia,"Seharusnya Pak @jokowi beserta kabinetnya mengundurkan diri. 

Presiden akan re-Shuffle Belasan Menteri, Ma'ruf Amin: ""Hanya Allah dan Pak Jokowi yang tahu"" - Portal Surabaya https://t.co/A4Vq6bzBZc",0,0
2020-10-23 05:40:19,Opposide8990,,"Presiden akan re-Shuffle Belasan Menteri, Ma'ruf Amin: ""Hanya Allah dan Pak Jokowi yang tahu"" - Portal Surabaya

Jadi wapres sprti tdk berfungsi ada Reshuffle ga tau 😁
 https://t.co/vZYdBPuTn2",0,2
2020-10-23 05:29:53,Ｋａｎｓｅｕｌｉｒ,Jakarta,"Presiden akan re-Shuffle Belasan Menteri, Ma'ruf Amin: ""Hanya Allah dan Pak Jokowi yang tahu""

YAI NGAPAIN DISITU?
PULANGLAH..
😁😁

https://t.co/34lUsWu3co",98,407
2020-10-23 05:29:51,Zie,,"@Elina_Vay @Sofy_Beeeeee @ManusiaIndomie7 @pasti_bersyukur @viwiy @SkyEarth82 Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ",0,0
2020-10-23 05:26:33,Step!,"Palu, Central Sulawesi",".@KontraS merilis catatan setahun Jokowi-Maruf. Tajuknya: Resesi Demokrasi. Salah satu indikatornya adalah penyempitan ruang kebebasan sipil. Sila smak rangkuman statistiknya.

#ReformasiDikorupsi #MosiTidakPercaya #ciptakerja #demokrasi #politik https://t.co/chKs8bYftl",0,0
2020-10-23 05:22:40,Aki Tulalit,Indonesia,"@MataNajwa / @NajwaShihab men-down-grade diri dengan mengundang narasumber yang kaleng-kaleng..

(https://t.co/L7kE9nL8wx) https://t.co/hYu3zUvE0p",1,6
2020-10-23 04:49:37,Irvan Gani,Indonesia,"Dilupakan Jokowi, Ini Tanggapan Ma'ruf Amin Yang Bikin Najwa Shihab Ketawa Poll ? https://t.co/O2wffX3MF6",0,12
2020-10-23 04:46:49,Irvan Gani,Indonesia,"ada beritanya 

https://t.co/UjBw2wCF0j",2,13
2020-10-23 04:41:23,Zie,,"@hmsafrizalsh @tjhinfar21 @kang_mul19 @yarachantique @Ch_Chotlmah @denni_loyz @silentreadeer @Chaterinee_08 @DibaaKey @seruanhl @LILApama2011 @jitoe02 Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ

Main Basket 
#JalinPersatuan
#LingkarOlahraga",0,0
2020-10-23 04:40:32,JPNN.com,Indonesia,"Catatan #fahrihamzah untuk setahun pemerintahan Jokowi
https://t.co/SlWbLEw45X https://t.co/k3YhmibEvN",1,2
2020-10-23 04:25:02,Jabar News,Bandung,"Laporan Tahunan Jokowi Ma'ruf: Pulih dan Bergerak Maju (Part 6)
👇
https://t.co/PwP871WsEO

#jabarnews #beritalokal #beritahiperlokal #harianjabar #jabartoday #beritajabar #beritajawabarat #jabar #jawabarat #laporantahunan #jokowi #marufamin #pulihbergerakmaju #part6

@jokowi https://t.co/195KXcIJPl",0,0
2020-10-23 04:07:50,EskaMatahari, Depan Congor Pengibul Asbun,"Presiden akan re-Shuffle Belasan Menteri, Ma'ruf Amin: ""Hanya Allah dan Pak Jokowi yang tahu"" - Portal Surabaya https://t.co/aNrDYG2BN7 

Wahahahah..kok pasrah banget, pak ?",0,0
2020-10-23 04:02:15,Boedi Darwanto,,"@geloraco Makan Janji
https://t.co/XfvqKZkEXr",0,0
2020-10-23 03:59:39,Boedi Darwanto,,"@geloraco Makan Janji
https://t.co/XfvqKZkEXr",0,0
2020-10-23 03:51:27,Zie,,"@b3doel_ Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ",0,0
2020-10-23 03:49:29,sang pejuang,,Status wakil presiden seperti orang-orangan sawah???.... https://t.co/tgQfPxYODG,0,0
2020-10-23 03:49:00,GIMNI Indonesia,Jakarta Capital Region,Setahun Jejak Keringat Jokowi-Maruf Amin di Perkebunan Sawit Rakyat https://t.co/Dg4fOdob95,0,1
2020-10-23 03:43:01,REPUBLIK MERDEKA | RMOL.ID,"Jakarta Pusat, DKI Jakarta","Setahun Jokowi-Maruf, Peran Wapres Antara Ada Dan Tiada https://t.co/IpeHUPl7ul #setahunjokowimaruf",8,10
2020-10-23 03:39:06,Mardani Ali Sera,Jakarta to the World,"Terkait penanganan Covid-19, tdk sistematisnya penanganan yg pemerintah lakukan&amp;tdk diikuti dgn kebijakan publik berbasis sains. Kerap kali mengotak-atik Gugus Tugas ketimbang memperkuat Kemenkes &amp; Kemendagri. Imbasnya angka Covid-19 kian mengkhawatirkan 

https://t.co/3cFqcrVbax",13,163
2020-10-23 03:35:07,GELORA NEWS,Indonesia,"Setahun Jokowi-Maruf, Peran Wapres Antara Ada Dan Tiada
https://t.co/2SvXr53MjS",6,35
2020-10-23 03:30:13,IG: @WaspadaOnline,Medan,EDITORIAL: Setahun Jokowi-Ma’ruf Amin: Mulai Pandemi Hingga Demonstrasi https://t.co/oTPWUkrxs4,0,0
2020-10-23 03:02:01,Tribunnews,Indonesia,"Setahun Jabat Presiden-Wapres, Kekayaan Jokowi-Ma'ruf Amin Bertambah, Ini Daftarnya
https://t.co/172u2oeSZM",0,3
2020-10-23 02:58:02,Rakyat Merdeka,"Graha Pena, Kebayoran Lama 12","Top News Koran Rakyat Merdeka

Setahun Jokowi-Maruf Dihadang Corona, Tetap Semangat Ya Pak

#Jokowi #JokowiAmin #SetahunJokowiMarufAmin #satutahunjokowimaruf #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMCoid 

https://t.co/lFieFNCPWH",4,4
2020-10-23 02:47:31,Zie,,"@jokowi Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ",0,0
2020-10-23 02:09:56,Tribunnews,Indonesia,"Sebagai pimpinan negara, Jokowi-Ma'ruf Amin wajib melaporkan daftar harta kekayaannya kepada KPK.

Dari daftar harta kekayaan yang diunggah KPK, terlihat adanya kenaikan kekayaan pada Jokowi-Ma'ruf Amin.

https://t.co/172u2oeSZM",1,3
2020-10-23 01:43:45,Om_Brewoks3 🏑,,"Presiden akan re-Shuffle Belasan Menteri, Ma'ruf Amin: ""Hanya Allah dan Pak Jokowi yang tahu"" - Portal Surabaya https://t.co/ykh2fsD8Fs",5,14
2020-10-23 01:04:22,βurαsatonGk4,wakanda,"Kesempurnaan bukan milik penguasa, yang sempurna hanya pencitraannya  saja.

#LawanIntimidasiRezim
#LawanIntimidasiRezim

https://t.co/UtwK8A42sm",0,0
2020-10-23 01:01:28,L!0N Oposan,"Santiago Texacuangos, El Salva","Kestabilan dan anarkis atau tidaknya suatu kejadian akan tergantung kepada bagaimana seorang pemimpin dan jajarannya mengelola negara. 
#LawanIntimidasiRezim 
#LawanIntimidasiRezim 
https://t.co/1QJhdLuHxz https://t.co/kk1L6yG0P6",1,2
2020-10-23 01:00:01,indonesiana,Jakarta,"Setahun Jokowi-Maruf, Jokowi Marah Lagi, NKRI Penuh Edukasi Konflik dan Manajemen Konflik https://t.co/uvyw6mrFat",0,0
2020-10-23 00:52:04,RAKYAT,,@ellidoang Ndeloko mata najwa 1 tahun pemerintahan jokowi maruf,0,0
2020-10-23 00:02:01,Arjuna_Singit,,"Rocky Gerung Nilai Pemerintahan Jokowi-Ma'ruf Amin, A Minus https://t.co/RF7w7LYCfi",0,0
